iso_time,pid,cpu_percent,rss_kb,vsz_kb,threads,open_fds
2026-08-13T07:36:56+07:00,11776,0.0,85320,1337156,11,23
2026-08-13T07:36:57+07:00,11776,2.0,85888,1337156,11,29
2026-08-13T07:36:58+07:00,11776,3.0,87272,1338180,11,36
2026-08-13T07:36:59+07:00,11776,8.0,88356,1338180,11,43
2026-08-13T07:37:00+07:00,11776,11.0,89248,1339204,11,50
2026-08-13T07:37:01+07:00,11776,13.0,90964,1342532,11,56
2026-08-13T07:37:02+07:00,11776,14.0,93768,1348164,11,63
2026-08-13T07:37:03+07:00,11776,16.0,96148,1348932,11,71
2026-08-13T07:37:04+07:00,11776,17.0,96420,1355844,11,78
2026-08-13T07:37:05+07:00,11776,15.0,101124,1355844,11,84
2026-08-13T07:37:06+07:00,11776,30.0,103924,1356508,11,91
2026-08-13T07:37:07+07:00,11776,20.0,103936,1356508,11,97
2026-08-13T07:37:08+07:00,11776,22.0,105928,1372380,11,105
2026-08-13T07:37:09+07:00,11776,20.0,113416,1372380,11,111
2026-08-13T07:37:10+07:00,11776,29.0,117868,1373148,11,118
2026-08-13T07:37:11+07:00,11776,23.0,123068,1379036,11,124
2026-08-13T07:37:12+07:00,11776,24.0,123208,1379036,11,132
2026-08-13T07:37:13+07:00,11776,29.0,123364,1379036,11,139
2026-08-13T07:37:14+07:00,11776,30.0,123820,1379036,11,145
2026-08-13T07:37:15+07:00,11776,31.0,123844,1379036,11,152
2026-08-13T07:37:16+07:00,11776,32.0,123844,1379036,11,158
2026-08-13T07:37:17+07:00,11776,36.0,123860,1379036,11,165
2026-08-13T07:37:18+07:00,11776,34.0,123868,1379036,11,172
2026-08-13T07:37:19+07:00,11776,38.0,123868,1379036,11,180
2026-08-13T07:37:20+07:00,11776,40.0,123868,1379036,11,186
2026-08-13T07:37:21+07:00,11776,41.0,123976,1379292,11,193
2026-08-13T07:37:23+07:00,11776,44.0,123976,1379292,11,200
2026-08-13T07:37:24+07:00,11776,48.0,124124,1379292,11,207
2026-08-13T07:37:25+07:00,11776,49.0,124124,1379292,11,213
2026-08-13T07:37:26+07:00,11776,51.0,122804,1379292,11,221
2026-08-13T07:37:27+07:00,11776,52.0,123348,1379292,11,227
2026-08-13T07:37:28+07:00,11776,51.0,123348,1379292,11,234
2026-08-13T07:37:29+07:00,11776,55.0,123348,1379292,11,241
2026-08-13T07:37:30+07:00,11776,51.0,123348,1379292,11,247
2026-08-13T07:37:31+07:00,11776,54.0,123348,1379292,11,254
2026-08-13T07:37:32+07:00,11776,54.0,123576,1379292,11,261
2026-08-13T07:37:33+07:00,11776,58.0,123588,1379292,11,268
2026-08-13T07:37:34+07:00,11776,58.0,123660,1379548,11,275
2026-08-13T07:37:35+07:00,11776,60.0,123876,1379548,11,282
2026-08-13T07:37:36+07:00,11776,62.0,123876,1379548,11,289
2026-08-13T07:37:37+07:00,11776,63.0,123876,1379548,11,296
2026-08-13T07:37:38+07:00,11776,63.0,123876,1379548,11,302
2026-08-13T07:37:39+07:00,11776,69.0,122416,1379548,11,309
2026-08-13T07:37:40+07:00,11776,70.0,123104,1379548,11,316
2026-08-13T07:37:41+07:00,11776,67.0,123324,1379548,11,323
2026-08-13T07:37:42+07:00,11776,71.0,123332,1379548,11,329
2026-08-13T07:37:43+07:00,11776,74.0,123428,1379804,11,337
2026-08-13T07:37:44+07:00,11776,73.0,123492,1380060,11,343
2026-08-13T07:37:45+07:00,11776,74.0,123688,1380060,11,351
2026-08-13T07:37:46+07:00,11776,73.0,123688,1380060,11,357
2026-08-13T07:37:47+07:00,11776,72.0,123696,1380060,11,363
2026-08-13T07:37:48+07:00,11776,72.0,123856,1380060,11,369
2026-08-13T07:37:49+07:00,11776,75.0,124064,1380060,11,377
2026-08-13T07:37:50+07:00,11776,79.0,124068,1380060,11,384
2026-08-13T07:37:51+07:00,11776,76.0,132628,1389020,11,391
2026-08-13T07:37:52+07:00,11776,78.0,138372,1394908,11,398
2026-08-13T07:37:53+07:00,11776,72.0,138388,1394908,11,405
2026-08-13T07:37:54+07:00,11776,79.0,138952,1394908,11,411
2026-08-13T07:37:55+07:00,11776,77.0,144876,1401052,11,418
2026-08-13T07:37:56+07:00,11776,72.0,145096,1401052,11,425
2026-08-13T07:37:57+07:00,11776,78.0,145096,1401052,11,432
2026-08-13T07:37:58+07:00,11776,87.0,145096,1401052,11,436
2026-08-13T07:37:59+07:00,11776,85.0,145348,1401052,11,445
2026-08-13T07:38:00+07:00,11776,78.0,145348,1401052,11,453
2026-08-13T07:38:01+07:00,11776,83.0,145352,1401052,11,458
2026-08-13T07:38:02+07:00,11776,85.0,145360,1401052,11,466
2026-08-13T07:38:03+07:00,11776,83.0,145360,1401052,11,475
2026-08-13T07:38:04+07:00,11776,83.0,145616,1401308,11,480
2026-08-13T07:38:06+07:00,11776,84.0,148072,1404124,11,487
2026-08-13T07:38:07+07:00,11776,88.0,148432,1404124,11,494
2026-08-13T07:38:08+07:00,11776,85.0,148432,1404124,11,501
2026-08-13T07:38:09+07:00,11776,88.0,148560,1404380,11,500
2026-08-13T07:38:10+07:00,11776,91.0,148696,1404380,11,515
2026-08-13T07:38:11+07:00,11776,91.0,148712,1404380,11,521
2026-08-13T07:38:12+07:00,11776,88.0,148712,1404380,11,528
2026-08-13T07:38:13+07:00,11776,86.0,148712,1404380,11,534
2026-08-13T07:38:14+07:00,11776,94.0,148712,1404380,11,541
2026-08-13T07:38:15+07:00,11776,89.0,148712,1404380,11,549
2026-08-13T07:38:16+07:00,11776,93.0,148760,1404892,11,555
2026-08-13T07:38:17+07:00,11776,98.0,149224,1404892,11,562
2026-08-13T07:38:18+07:00,11776,98.0,149224,1404892,11,569
2026-08-13T07:38:19+07:00,11776,93.0,149224,1404892,11,567
2026-08-13T07:38:20+07:00,11776,91.0,149224,1404892,11,583
2026-08-13T07:38:21+07:00,11776,95.0,149224,1404892,11,589
2026-08-13T07:38:22+07:00,11776,96.0,149224,1404892,11,589
2026-08-13T07:38:23+07:00,11776,99.0,149224,1404892,11,601
2026-08-13T07:38:24+07:00,11776,93.0,149224,1404892,11,610
2026-08-13T07:38:25+07:00,11776,97.0,149224,1404892,11,616
2026-08-13T07:38:26+07:00,11776,93.0,149224,1404892,11,624
2026-08-13T07:38:27+07:00,11776,99.0,149224,1404892,11,620
2026-08-13T07:38:28+07:00,11776,96.0,149224,1404892,11,635
2026-08-13T07:38:29+07:00,11776,98.0,149224,1404892,11,644
2026-08-13T07:38:30+07:00,11776,98.0,149224,1404892,11,651
2026-08-13T07:38:31+07:00,11776,100.0,149224,1404892,11,657
2026-08-13T07:38:32+07:00,11776,99.0,149228,1404892,11,644
2026-08-13T07:38:33+07:00,11776,103.0,149228,1404892,11,660
2026-08-13T07:38:34+07:00,11776,102.0,149228,1404892,11,679
2026-08-13T07:38:35+07:00,11776,108.0,149236,1405148,11,680
2026-08-13T07:38:36+07:00,11776,105.0,149484,1405148,11,692
2026-08-13T07:38:37+07:00,11776,102.0,149484,1405148,11,698
2026-08-13T07:38:38+07:00,11776,97.0,149484,1405148,11,696
2026-08-13T07:38:39+07:00,11776,103.0,149484,1405148,11,706
2026-08-13T07:38:40+07:00,11776,101.0,149484,1405148,11,719
2026-08-13T07:38:41+07:00,11776,102.0,149484,1405148,11,723
2026-08-13T07:38:42+07:00,11776,106.0,149484,1405148,11,730
2026-08-13T07:38:43+07:00,11776,108.0,149484,1405148,11,717
2026-08-13T07:38:44+07:00,11776,114.0,149484,1405148,11,720
2026-08-13T07:38:45+07:00,11776,117.0,149484,1405148,11,748
2026-08-13T07:38:47+07:00,11776,114.0,149484,1405148,11,758
2026-08-13T07:38:48+07:00,11776,103.0,149484,1405148,11,765
2026-08-13T07:38:49+07:00,11776,109.0,149484,1405148,11,772
2026-08-13T07:38:50+07:00,11776,114.0,149484,1405148,11,764
